Municipality_name,population,Period,Deaths,Hospitalisations,Totals,Levend geboren kinderen (aantal),Overledenen (aantal),Vestiging in de gemeente /Totale vestiging (aantal),Vestiging in de gemeente /Vestiging vanuit een andere gemeente (aantal),Vestiging in de gemeente /Immigratie (aantal),Vertrek uit de gemeente/Totaal vertrek (incl. adm. correcties) (aantal),Vertrek uit de gemeente/Vertrek naar andere gemeente (aantal),Vertrek uit de gemeente/Emigratie inclusief adm. correcties (aantal),Overige correcties (aantal),Bevolkingsgroei/Bevolkingsgroei (aantal),"Bevolkingsgroei/Bevolkingsgroei, relatief (%)",Bevolkingsgroei/Bevolkingsgroei sinds 1 januari (aantal),"Bevolkingsgroei/Bevolkingsgroei sinds 1 januari, rela... (%)",Bevolking aan het einde van de periode (aantal)
's-Gravenhage,547770.0,2020-03-31,7.0,823.0,1422.0,,,,,,,,,,,,,,
's-Gravenhage,547770.0,2020-04-30,2004.0,7515.0,20937.0,,,,,,,,,,,,,,
's-Gravenhage,547770.0,2020-05-31,6077.0,10445.0,40611.0,,,,,,,,,,,,,,
's-Gravenhage,547770.0,2020-06-30,6980.0,11419.0,49779.0,,,,,,,,,,,,,,
's-Gravenhage,547770.0,2020-07-31,7561.0,12067.0,58651.0,,,,,,,,,,,,,,
's-Gravenhage,547770.0,2020-08-31,7821.0,12888.0,84145.0,,,,,,,,,,,,,,
's-Gravenhage,547770.0,2020-09-30,7881.0,14725.0,148158.0,,,,,,,,,,,,,,
's-Gravenhage,547770.0,2020-10-31,9343.0,23894.0,366351.0,,,,,,,,,,,,,,
's-Gravenhage,547770.0,2020-11-30,10623.0,32556.0,602988.0,,,,,,,,,,,,,,
's-Gravenhage,547770.0,2020-12-31,12042.0,39138.0,779416.0,,,,,,,,,,,,,,
's-Gravenhage,547770.0,2021-01-31,13897.0,45504.0,956670.0,,,,,,,,,,,,,,
's-Gravenhage,547770.0,2021-02-28,13991.0,45885.0,949322.0,,,,,,,,,,,,,,
's-Gravenhage,547770.0,2021-03-31,1558.0,3400.0,106287.0,,,,,,,,,,,,,,
's-Hertogenbosch,155518.0,2020-03-31,127.0,986.0,1253.0,155379.0,124.0,180.0,743.0,662.0,81.0,638.0,570.0,68.0,0.0,49.0,0.03,317.0,0.2
's-Hertogenbosch,155518.0,2020-04-30,1465.0,3996.0,9347.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
's-Hertogenbosch,155518.0,2020-05-31,2317.0,4570.0,14212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
's-Hertogenbosch,155518.0,2020-06-30,2310.0,4508.0,14984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
's-Hertogenbosch,155518.0,2020-07-31,2417.0,4694.0,16322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
's-Hertogenbosch,155518.0,2020-08-31,2418.0,4733.0,18524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
's-Hertogenbosch,155518.0,2020-09-30,2369.0,4763.0,23835.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
's-Hertogenbosch,155518.0,2020-10-31,2555.0,5886.0,55970.0,155586.0,124.0,143.0,720.0,624.0,96.0,746.0,679.0,67.0,0.0,-45.0,-0.03,430.0,0.28
's-Hertogenbosch,155518.0,2020-11-30,2932.0,7667.0,117921.0,155541.0,111.0,133.0,643.0,551.0,92.0,671.0,614.0,57.0,0.0,-50.0,-0.03,380.0,0.24
