Municipality_name,amin,amax
's-Gravenhage,2020-03-31,2021-03-31
's-Hertogenbosch,2020-03-31,2021-03-31
Aa en Hunze,2020-03-31,2021-03-31
Aalsmeer,2020-03-31,2021-03-31
Aalten,2020-03-31,2021-03-31
Achtkarspelen,2020-03-31,2021-03-31
Alblasserdam,2020-03-31,2021-03-31
Albrandswaard,2020-03-31,2021-03-31
Alkmaar,2020-03-31,2021-03-31
Almelo,2020-03-31,2021-03-31
Almere,2020-03-31,2021-03-31
Alphen aan den Rijn,2020-03-31,2021-03-31
Alphen-Chaam,2020-03-31,2021-03-31
Altena,2020-03-31,2021-03-31
Ameland,2020-03-31,2021-03-31
Amersfoort,2020-03-31,2021-03-31
Amstelveen,2020-03-31,2021-03-31
Amsterdam,2020-03-31,2021-03-31
Apeldoorn,2020-03-31,2021-03-31
Arnhem,2020-03-31,2021-03-31
Assen,2020-03-31,2021-03-31
Asten,2020-03-31,2021-03-31
Baarle-Nassau,2020-03-31,2021-03-31
Baarn,2020-03-31,2021-03-31
Barendrecht,2020-03-31,2021-03-31
Barneveld,2020-03-31,2021-03-31
Beek,2020-03-31,2021-03-31
Beekdaelen,2020-03-31,2021-03-31
Beemster,2020-03-31,2021-03-31
Beesel,2020-03-31,2021-03-31
Berg en Dal,2020-03-31,2021-03-31
Bergeijk,2020-03-31,2021-03-31
Bergen (L.),2020-03-31,2021-03-31
Bergen (NH.),2020-03-31,2021-03-31
Bergen op Zoom,2020-03-31,2021-03-31
Berkelland,2020-03-31,2021-03-31
Bernheze,2020-03-31,2021-03-31
Best,2020-03-31,2021-03-31
Beuningen,2020-03-31,2021-03-31
Beverwijk,2020-03-31,2021-03-31
Bladel,2020-03-31,2021-03-31
Blaricum,2020-03-31,2021-03-31
Bloemendaal,2020-03-31,2021-03-31
Bodegraven-Reeuwijk,2020-03-31,2021-03-31
Boekel,2020-03-31,2021-03-31
Borger-Odoorn,2020-03-31,2021-03-31
Borne,2020-03-31,2021-03-31
Borsele,2020-03-31,2021-03-31
Boxmeer,2020-03-31,2021-03-31
Boxtel,2020-03-31,2021-03-31
Breda,2020-03-31,2021-03-31
Brielle,2020-03-31,2021-03-31
Bronckhorst,2020-03-31,2021-03-31
Brummen,2020-03-31,2021-03-31
Brunssum,2020-03-31,2021-03-31
Bunnik,2020-03-31,2021-03-31
Bunschoten,2020-03-31,2021-03-31
Buren,2020-03-31,2021-03-31
Capelle aan den IJssel,2020-03-31,2021-03-31
Castricum,2020-03-31,2021-03-31
Coevorden,2020-03-31,2021-03-31
Cranendonck,2020-03-31,2021-03-31
Cuijk,2020-03-31,2021-03-31
Culemborg,2020-03-31,2021-03-31
Dalfsen,2020-03-31,2021-03-31
Dantumadiel,2020-03-31,2021-03-31
De Bilt,2020-03-31,2021-03-31
De Fryske Marren,2020-03-31,2021-03-31
De Ronde Venen,2020-03-31,2021-03-31
De Wolden,2020-03-31,2021-03-31
Delft,2020-03-31,2021-03-31
Den Helder,2020-03-31,2021-03-31
Deurne,2020-03-31,2021-03-31
Deventer,2020-03-31,2021-03-31
Diemen,2020-03-31,2021-03-31
Dinkelland,2020-03-31,2021-03-31
Doesburg,2020-03-31,2021-03-31
Doetinchem,2020-03-31,2021-03-31
Dongen,2020-03-31,2021-03-31
Dordrecht,2020-03-31,2021-03-31
Drechterland,2020-03-31,2021-03-31
Drimmelen,2020-03-31,2021-03-31
Dronten,2020-03-31,2021-03-31
Druten,2020-03-31,2021-03-31
Duiven,2020-03-31,2021-03-31
Echt-Susteren,2020-03-31,2021-03-31
Edam-Volendam,2020-03-31,2021-03-31
Ede,2020-03-31,2021-03-31
Eemnes,2020-03-31,2021-03-31
Eemsdelta,2020-03-31,2021-03-31
Eersel,2020-03-31,2021-03-31
Eijsden-Margraten,2020-03-31,2021-03-31
Eindhoven,2020-03-31,2021-03-31
Elburg,2020-03-31,2021-03-31
Emmen,2020-03-31,2021-03-31
Enkhuizen,2020-03-31,2021-03-31
Enschede,2020-03-31,2021-03-31
Epe,2020-03-31,2021-03-31
Ermelo,2020-03-31,2021-03-31
Etten-Leur,2020-03-31,2021-03-31
Geertruidenberg,2020-03-31,2021-03-31
Geldrop-Mierlo,2020-03-31,2021-03-31
Gemert-Bakel,2020-03-31,2021-03-31
